days,No immune suppression
27.2512512512513,0.343467183890439
27.4174174174174,0.343110186510931
27.5835835835836,0.342559604755797
27.7497497497497,0.341816211328333
27.9159159159159,0.340883758364689
28.0820820820821,0.339769669670092
28.2482482482482,0.338474059170031
28.4144144144144,0.337009977689694
28.5805805805806,0.3353666368094
28.7467467467467,0.333569679757469
28.9129129129129,0.331640553056974
29.0790790790791,0.329600138258841
29.2452452452452,0.327440866566483
29.4114114114114,0.325177894049404
29.5775775775776,0.322806801192209
29.7437437437437,0.32033888604037
29.9099099099099,0.317783476015202
30.0760760760761,0.315135041107413
30.2422422422422,0.312418956201984
30.4084084084084,0.30964179631564
30.5745745745746,0.30681877137681
30.7407407407407,0.303943871554368
30.9069069069069,0.301024933876748
31.0730730730731,0.298066146890915
31.2392392392392,0.295076464028886
