,pop,HD79,GM04,274-98,174-97,396-09,145-97,t
642,0.004339863434893765,0.023003941809664478,0.011371212546124918,0.00010156493693376896,3.7914813558580154e-08,0.00035543487176382287,0.02114609600355044,106.67867867867868
643,0.0043244000311012,0.02286651377688948,0.011344641717902813,0.00010089772822038633,3.6183985459276246e-08,0.00034760839005087935,0.021017938396901307,106.84484484484484
644,0.004309174181682454,0.0227308436977112,0.011318540454610733,0.00010024243319120611,3.4531025584826836e-08,0.00033995816744960574,0.02089090581629581,107.011011011011
645,0.004294183126117668,0.022596908147178872,0.011292904841690888,9.959886622297996e-05,3.295266568644772e-08,0.0003324801265334841,0.020764986336948295,107.17717717717719
646,0.0042794243274215295,0.0224646840661266,0.011267730660538378,9.89668449665067e-05,3.144591047846094e-08,0.0003251702793601174,0.020640168185365737,107.34334334334335
647,0.0042648952904509345,0.0223341489775347,0.011243013923241814,9.834619018710281e-05,3.0008037638293895e-08,0.0003180247239456469,0.020516439734924334,107.50950950950951
648,0.004250593560822763,0.022205281201891414,0.011218750709491895,9.773672560507338e-05,2.8636597806479932e-08,0.000311039640739176,0.020393789455486613,107.67567567567568
649,0.004236516723831647,0.02207805845056027,0.011194937165098359,9.713827773618276e-05,2.7329414586658198e-08,0.00030421128909719104,0.020272205963580554,107.84184184184184
650,0.004222662403367738,0.021952459206579414,0.011171569500506932,9.655067573212537e-05,2.6090575556756916e-08,0.0002975360721635764,0.020151678025895303,108.008008008008
651,0.0042090282608344765,0.02182846229591811,0.011148643989316295,9.59738768357975e-05,2.4899317389070508e-08,0.0002910105921355667,0.020032194540797292,108.17417417417417
652,0.004195611994066359,0.02170604687934488,0.011126156966795028,9.540766207804216e-05,2.37630282334622e-08,0.0002846314189347978,0.019913744535326145,108.34034034034035
653,0.004182411655081378,0.021585192444295676,0.011104105041524436,9.485185725532744e-05,2.2678891278507585e-08,0.00027839519552559595,0.019796317162190637,108.50650650650651
654,0.0041694249010588704,0.02146587901868911,0.011082484660935196,9.430631065564959e-05,2.164433198301522e-08,0.0002722986401604677,0.019679901696764538,108.67267267267268
655,0.004156649527208219,0.021348087152285873,0.01106129230963035,9.377087330402384e-05,2.065700580789513e-08,0.00026633854362779797,0.019564487548899903,108.83883883883884
656,0.004144083407075496,0.02123179709254468,0.011040524594482348,9.324539883717553e-05,1.9714785948026832e-08,0.00026051176649954504,0.019450064388444176,109.005005005005
657,0.004131724449647692,0.021116989685503993,0.011020178181340747,9.27297433782312e-05,1.881575106412746e-08,0.00025481523637893626,0.019336621959124937,109.17117117117117
658,0.004119570598476557,0.021003646082583784,0.011000249793789735,9.222376541140975e-05,1.7958173014619825e-08,0.0002492459451481631,0.019224150107345024,109.33733733733735
659,0.004107619830802463,0.020891747733649425,0.010980736211905678,9.172732565671383e-05,1.714050458750081e-08,0.00024380094621607898,0.019112638806534164,109.50350350350351
660,0.004095870156678242,0.020781276380075417,0.010961634271014624,9.124028694462065e-05,1.636079460420763e-08,0.0002384773785442407,0.019002078155513313,109.66966966966967
