days,healthy pop,cd4 depl
37.71971972,1.57E-05,0.00054033
37.88588589,1.51E-05,0.000520973
38.05205205,1.46E-05,0.000502354
38.21821822,1.41E-05,0.000484439
38.38438438,1.36E-05,0.000467208
38.55055055,1.31E-05,0.000450637
38.71671672,1.27E-05,0.000434691
38.88288288,1.23E-05,0.000419343
39.04904905,1.18E-05,0.000404581
39.21521522,1.14E-05,0.000390372
39.38138138,1.10E-05,0.000376698
39.54754755,1.06E-05,0.000363539
39.71371371,1.03E-05,0.000350872
39.87987988,9.93E-06,0.000338679
40.04604605,9.58E-06,0.000326943
40.21221221,9.25E-06,0.000315641
40.37837838,8.94E-06,0.000304762
40.54454454,8.63E-06,0.000294287
40.71071071,8.33E-06,0.000284198
40.87687688,8.05E-06,0.000274484
41.04304304,7.77E-06,0.000265128
41.20920921,7.51E-06,0.000256115
41.37537538,7.25E-06,0.000247436
41.54154154,7.00E-06,0.000239074
41.70770771,6.76E-06,0.000231015
41.87387387,6.53E-06,0.000223253
42.04004004,6.31E-06,0.000215773
42.20620621,6.10E-06,0.000208561
42.37237237,5.89E-06,0.000201613
42.53853854,5.69E-06,0.000194915
42.7047047,5.50E-06,0.000188457
42.87087087,5.31E-06,0.000182232
43.03703704,5.13E-06,0.000176231
43.2032032,4.96E-06,0.000170444
43.36936937,4.79E-06,0.000164863
43.53553554,4.63E-06,0.000159483
43.7017017,4.47E-06,0.000154292
43.86786787,4.32E-06,0.000149286
44.03403403,4.17E-06,0.000144458
44.2002002,4.03E-06,0.0001398
44.36636637,3.90E-06,0.000135305
44.53253253,3.77E-06,0.000130969
44.6986987,3.64E-06,0.000126784
44.86486486,3.52E-06,0.000122745
45.03103103,3.40E-06,0.000118848
45.1971972,3.28E-06,0.000115086
45.36336336,3.17E-06,0.000111454
45.52952953,3.07E-06,0.000107948
45.6956957,2.96E-06,0.000104563
45.86186186,2.86E-06,0.000101294
46.02802803,2.77E-06,9.81E-05
46.19419419,2.68E-06,9.51E-05
46.36036036,2.59E-06,9.21E-05
46.52652653,2.50E-06,8.93E-05
46.69269269,2.41E-06,8.66E-05
46.85885886,2.33E-06,8.39E-05
47.02502503,2.26E-06,8.13E-05
47.19119119,2.18E-06,7.89E-05
47.35735736,2.11E-06,7.65E-05
47.52352352,2.04E-06,7.42E-05
47.68968969,1.97E-06,7.19E-05
47.85585586,1.90E-06,6.98E-05
48.02202202,1.84E-06,6.77E-05
48.18818819,1.78E-06,6.56E-05
48.35435435,1.72E-06,6.37E-05
48.52052052,1.66E-06,6.18E-05
48.68668669,1.61E-06,6.00E-05
48.85285285,1.55E-06,5.82E-05
49.01901902,1.50E-06,5.65E-05
49.18518519,1.45E-06,5.48E-05
49.35135135,1.41E-06,5.32E-05
49.51751752,1.36E-06,5.17E-05
49.68368368,1.32E-06,5.02E-05
49.84984985,1.27E-06,4.88E-05
50.01601602,1.23E-06,4.73E-05
50.18218218,1.19E-06,4.60E-05
50.34834835,1.15E-06,4.47E-05
50.51451451,1.11E-06,4.34E-05
50.68068068,1.08E-06,4.22E-05
50.84684685,1.04E-06,4.10E-05
51.01301301,1.01E-06,3.98E-05
