days,pop,immunesupressed_flow,HD79,HD79_flow,145-97,145-97_flow,396-09,396-09_flow,274-98,274-98_flow,174-97,174-97_flow,GM04,GM04_flow
76.1041041,0.019634047,0.083887767,0.152739258,0.244620863,0.091952288,-7.38E-08,0.027691066,1.420537471,0.001336678,0.006883109,0.000207017,0.001901568,0.036984979,0.151079469
76.27027027,0.019368535,0.082869706,0.150460306,0.23407224,0.091001633,-7.06E-08,0.026994278,1.42395462,0.001307861,0.006745764,0.000197556,0.001827016,0.036568271,0.149591448
76.43643644,0.019107941,0.081870623,0.148223842,0.223522039,0.090063893,-6.74E-08,0.026315682,1.427387284,0.00127978,0.006611393,0.000188527,0.001752481,0.036158629,0.148127815
76.6026026,0.01885216,0.080886881,0.146028967,0.212924312,0.089138854,-6.42E-08,0.025654786,1.430833076,0.001252415,0.006479818,0.00017991,0.001677456,0.035755913,0.146688295
76.76876877,0.018601088,0.079918886,0.143874804,0.202591906,0.088226307,-6.09E-08,0.025011109,1.434289579,0.001225745,0.006350856,0.000171688,0.001601428,0.035359984,0.145272648
76.93493493,0.018354624,0.078967699,0.141760496,0.192767856,0.087326045,-5.77E-08,0.024384187,1.437754353,0.00119975,0.006224326,0.000163841,0.00152388,0.034970708,0.143880664
77.1011011,0.01811267,0.078033017,0.139685207,0.183078002,0.086437866,-5.44E-08,0.023773566,1.441224926,0.001174412,0.006100043,0.000156353,0.001458598,0.034587953,0.142508149
77.26726727,0.017875131,0.07711455,0.137648119,0.173509867,0.085561572,-5.11E-08,0.023178806,1.444698804,0.001149711,0.005977819,0.000149207,0.001404183,0.034211591,0.141156697
77.43343343,0.017641912,0.07621203,0.135648434,0.164050823,0.08469697,-4.79E-08,0.02259948,1.44817346,0.001125631,0.005857463,0.000142388,0.001351647,0.033841497,0.139826835
77.5995996,0.017412923,0.075325201,0.13368537,0.154688091,0.083843871,-4.46E-08,0.022035172,1.451646345,0.001102154,0.005738786,0.00013588,0.001300772,0.033477548,0.13851829
77.76576577,0.017188073,0.074453829,0.131758166,0.145408744,0.083002087,-4.13E-08,0.021485477,1.455142456,0.001079262,0.005621591,0.00012967,0.001251337,0.033119625,0.137230812
77.93193193,0.016967277,0.073597697,0.129866078,0.136199704,0.082171437,-3.79E-08,0.020950003,1.458681179,0.00105694,0.005505683,0.000123743,0.001203117,0.032767609,0.13596418
78.0980981,0.016750449,0.072756607,0.128008378,0.127166915,0.081351739,-3.46E-08,0.020428367,1.462230883,0.001035173,0.005390863,0.000118087,0.001155886,0.032421386,0.134718196
78.26426426,0.016537506,0.071930377,0.126184357,0.118674458,0.080542819,-3.13E-08,0.0199202,1.46579081,0.001013944,0.00527693,0.00011269,0.001109417,0.032080845,0.13349269
78.43043043,0.016328367,0.071118847,0.124393321,0.110417573,0.079744504,-2.79E-08,0.019425139,1.469360194,0.000993238,0.005163681,0.00010754,0.001063476,0.031745876,0.132287516
78.5965966,0.016122953,0.070318529,0.122634589,0.102405656,0.078956624,-2.46E-08,0.018942833,1.47293826,0.000973042,0.00505091,0.000102625,0.001017831,0.031416371,0.131102557
78.76276276,0.015921187,0.069527707,0.120907499,0.094648183,0.078179014,-2.12E-08,0.018472943,1.476524225,0.000953342,0.004938409,9.79E-05,0.000972245,0.031092228,0.129937723
