days,healthy pop
29.90990991,8.48917882978003e-05
30.07607608,8.1853634866135e-05
30.24224224,7.89253476889215e-05
30.40840841,7.61028781204204e-05
30.57457457,7.33844367949792e-05
30.74074074,7.0764438970529e-05
30.90690691,6.82387379867665e-05
31.07307307,6.58034992239602e-05
31.23923924,6.34585016376606e-05
31.40540541,6.11982158407854e-05
31.57157157,5.9019043985544e-05
31.73773774,5.69173878332641e-05
31.9039039,5.48937178607245e-05
32.07007007,5.2943060089557e-05
32.23623624,5.10623197785225e-05
32.4024024,4.92484231157793e-05
32.56856857,4.75012502789168e-05
32.73473473,4.58172325295648e-05
32.9009009,4.41934700007701e-05
33.06706707,4.26273283225154e-05
33.23323323,4.11183449700859e-05
33.3993994,3.9663988796006e-05
33.56556557,3.82615788341799e-05
33.73173173,3.69088592197696e-05
