,pop,273-98,223-98,251-05,ME72,MH81,MI64,t
406,0.0004052008925534486,0.00010213555674878299,0.03336790898121527,0.0028344541895014017,0.0003359276885791864,7.903840413658965e-06,0.0006001646738248978,67.46346346346347
407,0.00039336346150518713,9.87463964522832e-05,0.0329234109552216,0.0027706670232973294,0.00032593093388748014,7.595424494721119e-06,0.0005836250344595195,67.62962962962963
408,0.0003818828946395447,9.547066913780947e-05,0.03248714159865503,0.0027084428102029804,0.0003162404951841771,7.299076808916923e-06,0.0005675619000619936,67.7957957957958
409,0.00037074795425752493,9.23044138417849e-05,0.03205892959836398,0.0026477404740828455,0.00030684788597282203,7.014296889725092e-06,0.0005519609436005897,67.96196196196196
410,0.0003599480661149783,8.92436807617654e-05,0.03163860792863186,0.002588520019009629,0.0002977424602719399,6.740597497242578e-06,0.0005368082508850385,68.12812812812813
411,0.00034947333870670894,8.628533690323993e-05,0.031226013100865698,0.0025307426843667663,0.0002889143512856803,6.477503146471697e-06,0.0005220907302305173,68.29429429429429
412,0.0003393132193761932,8.342614939305646e-05,0.030820986037612227,0.002474370757492613,0.0002803570374876734,6.224707634616476e-06,0.0005077953329194142,68.46046046046047
413,0.0003294577847340205,8.066307446710248e-05,0.03042337103081144,0.0024193685768833257,0.0002720612709813756,5.981978226881786e-06,0.0004939093614558974,68.62662662662663
414,0.000319897335704125,7.799325747030358e-05,0.03003301550951421,0.0023657001859864342,0.0002640173708430686,5.748746410208875e-06,0.000480420563938345,68.7927927927928
415,0.00031062344036294305,7.541272013246839e-05,0.029649770521881235,0.0023133310576951543,0.000256217788945306,5.5246332083415175e-06,0.00046731703758054477,68.95895895895896
416,0.00030162712917010664,7.29172094642146e-05,0.029273491324299433,0.002262227601521098,0.00024865719144344216,5.309272355824793e-06,0.00045458773584246314,69.12512512512512
417,0.00029289958489671375,7.05051924564986e-05,0.028904036113384622,0.002212357094303461,0.00024132571636298905,5.102309285157315e-06,0.0004422215007668169,69.29129129129129
418,0.000284432429688842,6.817402391816542e-05,0.028541265750141747,0.0021636875705475307,0.00023421522719359124,4.90340011394344e-06,0.00043020740457181024,69.45745745745745
419,0.0002762175986367719,6.59211973887988e-05,0.028185044477686296,0.002116188049703647,0.00022732268887955338,4.712210632045472e-06,0.0004185349598126704,69.62362362362363
420,0.0002682477635471556,6.374434513872204e-05,0.02783523974923624,0.00206982827462213,0.00022063817895398807,4.528526679148183e-06,0.0004071939709144545,69.7897897897898
421,0.0002605151928323941,6.164018969794434e-05,0.027491723279359816,0.0020245787380307793,0.000214155313376387,4.352094900146836e-06,0.0003961745186252936,69.95595595595596
422,0.0002530126462953104,5.9605565755197454e-05,0.027154367902664633,0.0019804110946938227,0.00020786854755274343,4.182563745219956e-06,0.0003854675716990828,70.12212212212212
423,0.000245733128026069,5.763898402010947e-05,0.026823049918019478,0.0019372978954615443,0.0002017727166342559,4.019660175286736e-06,0.00037506391235134467,70.28828828828829
424,0.00023866979548601368,5.573824514457794e-05,0.026497648356566848,0.0018952117230444383,0.0001958603393657097,3.863119939464307e-06,0.0003649543725586219,70.45445445445445
425,0.00023181601553467603,5.3901253077504724e-05,0.026178045700579793,0.001854126151492624,0.00019012561961323033,3.71268679109135e-06,0.0003551302330191198,70.62062062062063
426,0.00022516546294947884,5.212601506479664e-05,0.025864126663556686,0.0018140154125798138,0.0001845631165109368,3.5681117037517523e-06,0.00034558301278315084,70.78678678678679
427,0.00021871196682645615,5.0409906719601594e-05,0.025555778220682106,0.0017748555782458272,0.00017916726983349465,3.4291520872981497e-06,0.0003363044563961757,70.95295295295296
428,0.00021244954802939972,4.8750583382013154e-05,0.02525289005662272,0.001736622710195736,0.00017393239317361025,3.2956745552128977e-06,0.00032728709612283907,71.11911911911912
429,0.00020637236013849175,4.714660650185982e-05,0.024955354413060623,0.0016992931582189318,0.0001688543747347174,3.1674567568840042e-06,0.00031852334783365747,71.28528528528528
430,0.0002004747945819313,4.559615403459648e-05,0.024663066466431842,0.0016628442732669925,0.00016392888218683853,3.044257022032797e-06,0.00031000554429799103,71.45145145145145
431,0.00019475138924446804,4.409748510955488e-05,0.024375922917957763,0.0016272540703699124,0.00015915190581937812,2.925874260883553e-06,0.00030172645035694243,71.61761761761763
432,0.00018919683394371138,4.264894002994411e-05,0.02409382301940736,0.001592500144128501,0.00015451878023768162,2.812112894306257e-06,0.00029367903146041097,71.78378378378379
433,0.000183805965302709,4.1248470181802335e-05,0.023816668208909715,0.0015585618137317185,0.0001500222646605892,2.7027822324919844e-06,0.0002858564434833353,71.94994994994995
434,0.00017857375798162816,3.989432404173595e-05,0.023544362689171844,0.00152541862639984,0.0001456604606817747,2.597695853628378e-06,0.0002782524065794065,72.11611611611612
435,0.0001734953567705073,3.858519950078022e-05,0.02327681235923909,0.0014930505945781973,0.00014142963585484265,2.496670982575082e-06,0.0002708606607972166,72.28228228228228
436,0.0001685667005294637,3.731962145831138e-05,0.02301392502248656,0.0014614381380132265,0.0001373262730513823,2.399773849669315e-06,0.0002636748454057674,72.44844844844845
437,0.00016378284666479297,3.609618326511234e-05,0.022755610609621172,0.0014305615976559338,0.00013334673521614568,2.306733376153472e-06,0.00025668895447786223,72.61461461461461
438,0.000159139371522176,3.491354672337255e-05,0.02250178113821207,0.001400402436464798,0.0001294845146160577,2.2173583035987377e-06,0.00024989715016155643,72.78078078078079
439,0.0001546319662779507,3.3769889791087566e-05,0.022252350987576282,0.0013709422211342823,0.0001257377879863169,2.1314985696839055e-06,0.00024329375444069883,72.94694694694695
440,0.00015025642948064818,3.266386672081424e-05,0.022007235691398647,0.0013421628589649196,0.0001221031449822816,2.0490069939413366e-06,0.0002368734873877182,73.11311311311312
441,0.00014600865959253257,3.159447471043485e-05,0.021766352853802306,0.00131404775591791,0.00011857730955972413,1.96973875355782e-06,0.0002306311613556324,73.27927927927928
442,0.00014188486969835863,3.056053312740447e-05,0.021529621828919442,0.0012865822993183014,0.00011515713997483056,1.8935508591753948e-06,0.00022456149687311174,73.44544544544544
443,0.00013788206124637904,2.956092031244175e-05,0.021296964577736527,0.0012597491882441398,0.0001118381748841814,1.8203016306921758e-06,0.00021865949736527706,73.61161161161161
444,0.00013399602862112025,2.859457357952882e-05,0.02106830394755746,0.0012335329588949336,0.00010861796938232469,1.74985017306318e-06,0.00021292030491654025,73.77777777777779
445,0.00013022321817564032,2.7660489215911626e-05,0.02084356439681629,0.001207918646893666,0.00010549350982657125,1.6820558521011765e-06,0.0002073391933978236,73.94394394394395
446,0.00012656017196324636,2.6756724539321307e-05,0.020622672140022762,0.0011828904762605122,0.00010246187241134696,1.6168749968397841e-06,0.00020191173049542138,74.11011011011011
447,0.00012300352235793398,2.5882706485252983e-05,0.02040555493650243,0.0011584338926525115,9.952023627770774e-05,1.5545524897159697e-06,0.0001966336033007517,74.27627627627628
448,0.00011954998667482525,2.5037568282458106e-05,0.020192142632131548,0.0011345357030298295,9.666560726118853e-05,1.4946813577153626e-06,0.0001915004067277817,74.44244244244244
449,0.00011619664546459257,2.4220397532586095e-05,0.01998236656002352,0.0011111825693618637,9.389539114477531e-05,1.4371579403633952e-06,0.00018650796643877372,74.6086086086086
450,0.0001129408678188987,2.343032925834686e-05,0.01977615881898077,0.0010883616194808483,9.120704384964516e-05,1.3818803158177723e-06,0.00018165222059322384,74.77477477477477
451,0.00010977940303659265,2.2666545903510753e-05,0.01957345326870719,0.0010660604470818526,8.859808444135779e-05,1.328747951255042e-06,0.00017692921400725543,74.94094094094095
452,0.00010670941835857902,2.1928160053594677e-05,0.019374185139148074,0.001044264821434472,8.606612778348591e-05,1.2776613532571871e-06,0.00017233534535564309,75.10710710710711
453,0.00010372816310222249,2.1213594036613738e-05,0.019178291276034095,0.0010229619913107056,8.360866404670824e-05,1.2285217181981746e-06,0.00016786711708534908,75.27327327327328
